SECTOR,October,November,December,January,February,March,April,May,June,July,August,September,Yearly Total,Fiscal Year
El Paso,"3,605","2,648","2,015","3,470","3,944","3,129","2,808","2,035","1,811","1,634","1,615","1,598","30,312",2008
Laredo,"3,825","2,658","1,969","3,907","5,001","5,355","4,904","3,733","3,432","3,066","3,310","2,498","43,658",2008
"Rio Grande Valley
(formerly McAllen)","5,989","4,695","3,974","5,216","6,880","8,543","9,417","7,967","6,308","5,562","6,103","4,819","75,473",2008
San Diego,"9,801","9,163","7,773","12,877","15,091","18,869","20,569","16,015","12,395","13,127","13,734","12,976","162,390",2008
Tucson,"21,730","18,231","11,721","26,347","34,309","45,239","45,442","32,845","24,289","21,093","18,406","18,044","317,696",2008
Yuma,"1,094",955,954,"1,061","1,089",751,523,447,381,366,345,397,"8,363",2008
Coastal Border,"1,025",965,"1,034","1,158",856,"1,119","1,144",784,"1,011",601,636,562,"10,895",2008
Northern Border,815,811,540,564,571,634,559,565,686,722,740,718,"7,925",2008
Southwest Border,"51,339","42,209","31,802","59,028","73,483","89,770","91,566","69,233","53,854","49,472","48,541","44,708","705,005",2008
Monthly Total,"53,179","43,985","33,376","60,750","74,910","91,523","93,269","70,582","55,551","50,795","49,917","45,988","723,825",2008
Livermore*,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
Miami,342,302,317,401,383,382,407,314,343,413,358,463,"4,425",2009
New Orleans,386,267,309,259,282,429,317,257,264,253,271,233,"3,527",2009
Ramey,114,34,27,27,21,42,26,11,50,5,58,3,418,2009
Blaine,103,93,68,96,68,85,61,65,39,49,67,49,843,2009
Buffalo,254,210,201,176,194,220,225,263,250,198,240,241,"2,672",2009
Detroit,120,62,63,78,118,99,97,91,80,117,122,110,"1,157",2009
Grand Forks,52,53,37,29,26,29,22,41,35,50,49,49,472,2009
Havre,31,21,11,29,30,23,30,21,31,22,18,16,283,2009
Houlton,1,8,13,3,0,4,4,4,2,8,4,8,59,2009
Spokane,32,44,22,20,18,14,15,16,17,19,38,22,277,2009
Swanton,65,80,106,36,77,71,74,111,99,125,104,95,"1,043",2009
"Big Bend
(formerly Marfa)",539,459,472,533,689,590,458,511,569,484,575,481,"6,360",2009
Del Rio,"1,321","1,064",872,"1,604","1,908","2,231","1,619","1,426","1,304","1,383","1,321","1,029","17,082",2009
El Centro,"2,619","2,176","1,691","2,969","2,904","4,141","3,314","2,955","2,811","2,449","2,767","2,725","33,521",2009
El Paso,"1,469","1,153",866,"1,344","1,435","1,508","1,344","1,238","1,208","1,160","1,181","1,093","14,999",2009
Laredo,"2,709","2,465","1,932","3,970","3,718","4,538","4,168","3,722","3,283","3,512","3,671","2,881","40,569",2009
"Rio Grande Valley
(formerly McAllen)","5,092","4,259","3,341","4,575","5,207","5,479","6,107","5,293","5,094","5,509","6,025","5,008","60,989",2009
San Diego,"10,036","7,954","6,552","10,246","11,678","16,472","12,618","11,000","10,278","8,655","6,743","6,489","118,721",2009
Tucson,"18,814","12,844","9,862","18,649","20,941","31,432","28,072","24,083","20,842","20,146","20,810","15,178","241,673",2009
Yuma,339,406,359,612,731,951,793,656,655,545,429,475,"6,951",2009
Coastal Border,842,603,653,687,686,853,750,582,657,671,687,699,"8,370",2009
Northern Border,658,571,521,467,531,545,528,612,553,588,642,590,"6,806",2009
Southwest Border,"42,938","32,780","25,947","44,502","49,211","67,342","58,493","50,884","46,044","43,843","43,522","35,359","540,865",2009
Monthly Total,"44,438","33,954","27,121","45,656","50,428","68,740","59,771","52,078","47,254","45,102","44,851","36,648","556,041",2009
Livermore*,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Miami,463,478,416,265,335,326,370,427,442,367,427,335,"4,651",2010
New Orleans,247,179,173,303,303,394,404,218,223,204,244,279,"3,171",2010
Ramey,41,20,10,8,23,32,40,44,25,4,94,57,398,2010
Blaine,50,69,52,59,57,58,54,44,53,65,70,42,673,2010
Buffalo,241,214,207,168,216,252,207,231,189,135,180,182,"2,422",2010
Detroit,168,154,157,129,126,122,110,98,128,113,165,199,"1,669",2010
Grand Forks,55,47,36,26,37,45,39,80,23,34,74,47,543,2010
Havre,31,23,17,11,18,54,30,32,20,12,20,22,290,2010
Houlton,3,2,0,0,0,12,5,10,6,12,6,0,56,2010
Spokane,35,21,14,19,15,27,25,34,33,42,51,40,356,2010
Swanton,71,101,68,58,128,132,97,136,124,233,197,77,"1,422",2010
"Big Bend
(formerly Marfa)",530,421,373,433,484,660,575,493,415,280,295,329,"5,288",2010
Del Rio,"1,119",897,697,"1,234","1,245","1,874","1,791","1,718","1,326",767,"1,095",931,"14,694",2010
El Centro,"2,589","2,412","2,196","2,688","2,836","4,408","3,419","3,126","2,440","2,331","2,075","2,042","32,562",2010
El Paso,"1,007",894,725,"1,124","1,140","1,528","1,359","1,380","1,005",725,732,632,"12,251",2010
Laredo,"2,613","2,130","1,802","2,526","3,173","4,433","4,528","3,813","3,475","1,857","2,819","2,118","35,287",2010
"Rio Grande Valley
(formerly McAllen)","4,236","3,688","2,987","3,658","4,845","7,141","7,139","7,477","5,595","3,832","5,329","3,839","59,766",2010
San Diego,"5,017","4,738","4,636","6,413","6,982","9,061","7,115","5,858","5,092","5,113","4,528","4,012","68,565",2010
Tucson,"23,197","16,986","10,907","16,122","21,266","31,197","28,579","22,572","13,160","10,303","9,280","8,633","212,202",2010
Yuma,582,649,711,586,819,"1,059",732,608,447,401,262,260,"7,116",2010
Coastal Border,751,677,599,576,661,752,814,689,690,575,765,671,"8,220",2010
Northern Border,654,631,551,470,597,702,567,665,576,646,763,609,"7,431",2010
Southwest Border,"40,890","32,815","25,034","34,784","42,790","61,361","55,237","47,045","32,955","25,609","26,415","22,796","447,731",2010
Monthly Total,"42,295","34,123","26,184","35,830","44,048","62,815","56,618","48,399","34,221","26,830","27,943","24,076","463,382",2010
Livermore*,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
Miami,401,441,349,447,364,466,324,325,309,330,340,305,"4,401",2011
New Orleans,231,144,121,156,132,105,109,124,111,63,114,99,"1,509",2011
Ramey,55,25,59,47,44,54,46,82,42,90,38,60,642,2011
Blaine,68,42,37,54,31,69,35,53,46,48,64,44,591,2011
Buffalo,231,190,139,161,148,203,174,158,176,157,188,189,"2,114",2011
Detroit,177,143,110,133,121,175,118,103,110,96,126,119,"1,531",2011
Grand Forks,47,34,32,24,37,56,20,24,49,52,44,49,468,2011
Havre,46,23,16,24,21,17,32,25,4,9,31,22,270,2011
Houlton,4,4,0,1,1,9,1,1,10,5,2,3,41,2011
Spokane,32,28,20,5,26,28,20,23,24,21,41,25,293,2011
Swanton,78,74,37,67,67,50,53,53,50,121,110,55,815,2011
"Big Bend
(formerly Marfa)",375,290,282,332,300,457,512,350,296,235,311,296,"4,036",2011
Del Rio,"1,043",837,704,899,"1,399","2,132","1,977","1,499","1,525","1,386","1,356","1,387","16,144",2011
El Centro,"2,201","1,851","1,734","2,135","2,569","3,772","3,563","3,278","2,904","2,225","2,074","1,885","30,191",2011
El Paso,732,660,622,779,911,"1,354","1,380",904,816,794,711,682,"10,345",2011
Laredo,"2,286","2,174","1,797","2,285","2,943","4,686","3,891","3,168","3,205","2,913","3,262","3,443","36,053",2011
"Rio Grande Valley
(formerly McAllen)","3,628","3,625","3,349","3,485","4,233","6,806","6,502","5,953","5,409","5,276","5,973","5,004","59,243",2011
San Diego,"4,344","3,480","3,233","3,379","3,977","4,811","4,031","3,474","3,109","3,016","2,863","2,730","42,447",2011
Tucson,"11,165","9,097","7,354","10,131","11,790","17,056","13,816","12,088","9,585","6,923","7,270","7,010","123,285",2011
Yuma,391,391,354,501,664,940,579,522,317,402,346,426,"5,833",2011
Coastal Border,687,610,529,650,540,625,479,531,462,483,492,464,"6,552",2011
Northern Border,683,538,391,469,452,607,453,440,469,509,606,506,"6,123",2011
Southwest Border,"26,165","22,405","19,429","23,926","28,786","42,014","36,251","31,236","27,166","23,170","24,166","22,863","327,577",2011
Monthly Total,"27,535","23,553","20,349","25,045","29,778","43,246","37,183","32,207","28,097","24,162","25,264","23,833","340,252",2011
Livermore*,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
Miami,216,293,195,249,180,156,159,226,137,249,207,242,"2,509",2012
New Orleans,49,48,39,40,42,24,22,58,22,12,21,97,474,2012
Ramey,72,100,41,51,50,68,41,39,123,41,33,43,702,2012
Blaine,50,58,47,41,53,51,42,28,40,41,41,45,537,2012
Buffalo,118,87,56,78,90,100,89,106,61,126,104,128,"1,143",2012
Detroit,127,109,57,62,67,95,111,67,82,67,55,51,950,2012
Grand Forks,58,46,16,29,13,30,33,26,36,43,32,56,418,2012
Havre,21,9,18,4,9,11,9,5,5,3,4,4,102,2012
Houlton,0,3,2,1,0,1,2,1,7,4,9,11,41,2012
Spokane,34,18,23,24,18,21,35,22,25,40,34,23,317,2012
Swanton,40,43,43,26,51,48,47,52,103,120,69,60,702,2012
"Big Bend
(formerly Marfa)",284,317,288,323,423,450,393,304,300,303,333,246,"3,964",2012
Del Rio,"1,364","1,289",871,"1,204","1,788","2,375","2,791","2,480","2,123","1,942","1,770","1,723","21,720",2012
El Centro,"1,946","1,698","1,401","1,655","2,041","2,857","2,805","2,622","2,107","1,896","1,411","1,477","23,916",2012
El Paso,647,662,534,625,812,"1,151",888,823,840,793,984,919,"9,678",2012
Laredo,"2,835","2,846","1,853","3,180","3,855","5,154","5,100","4,478","4,019","3,670","4,306","3,576","44,872",2012
"Rio Grande Valley
(formerly McAllen)","6,201","5,513","4,285","5,514","6,709","9,622","11,160","11,583","10,112","9,023","9,295","8,745","97,762",2012
San Diego,"2,439","2,185","2,136","2,185","2,439","3,064","2,879","2,787","2,170","2,165","2,020","1,992","28,461",2012
Tucson,"9,306","8,361","7,100","10,209","12,836","16,559","14,095","11,343","8,636","6,856","7,116","7,583","120,000",2012
Yuma,590,497,515,819,676,986,517,546,362,330,332,330,"6,500",2012
Coastal Border,337,441,275,340,272,248,222,323,282,302,261,382,"3,685",2012
Northern Border,448,373,262,265,301,357,368,307,359,444,348,378,"4,210",2012
Southwest Border,"25,612","23,368","18,983","25,714","31,579","42,218","40,628","36,966","30,669","26,978","27,567","26,591","356,873",2012
Monthly Total,"26,397","24,182","19,520","26,319","32,152","42,823","41,218","37,596","31,310","27,724","28,176","27,351","364,768",2012
Livermore*,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Miami,248,134,130,135,89,92,157,92,113,212,171,165,"1,738",2013
New Orleans,49,74,47,32,49,27,46,28,15,30,47,56,500,2013
Ramey,24,56,45,39,107,194,11,27,99,43,164,115,924,2013
Blaine,37,34,33,21,32,31,24,26,34,32,25,31,360,2013
Buffalo,106,54,60,53,47,47,73,54,78,83,58,83,796,2013
Detroit,65,58,64,58,44,50,49,43,42,67,59,51,650,2013
Grand Forks,32,27,12,19,36,31,39,36,52,73,55,57,469,2013
Havre,4,2,0,3,3,2,3,9,9,8,21,24,88,2013
Houlton,15,1,0,0,1,2,2,0,7,1,3,5,37,2013
Spokane,33,36,17,19,13,19,28,20,26,33,34,21,299,2013
Swanton,35,21,29,17,41,50,53,57,42,72,48,66,531,2013
"Big Bend
(formerly Marfa)",356,238,213,340,400,416,473,341,232,219,218,238,"3,684",2013
Del Rio,"1,792","1,715","1,135","1,617","2,223","2,771","2,778","2,332","1,695","2,039","1,817","1,596","23,510",2013
El Centro,"1,527","1,408","1,101","1,103","1,340","2,098","1,972","1,513","1,222","1,035","1,056",931,"16,306",2013
El Paso,977,860,629,776,"1,030","1,176","1,217","1,163",857,852,852,765,"11,154",2013
Laredo,"3,829","3,537","2,835","3,280","4,628","5,903","5,621","5,338","4,029","4,212","3,944","3,593","50,749",2013
"Rio Grande Valley
(formerly McAllen)","8,869","8,352","6,587","7,190","10,828","16,115","18,455","17,522","14,275","15,217","16,253","14,790","154,453",2013
San Diego,"1,922","1,924","1,795","2,150","2,227","3,062","2,833","2,854","2,324","2,313","2,069","2,023","27,496",2013
Tucson,"9,224","9,185","8,481","9,871","11,831","14,990","14,051","12,119","9,357","7,014","7,278","7,538","120,939",2013
Yuma,433,417,467,594,535,762,812,674,445,329,310,328,"6,106",2013
Coastal Border,321,264,222,206,245,313,214,147,227,285,382,336,"3,162",2013
Northern Border,327,233,215,190,217,232,271,245,290,369,303,338,"3,230",2013
Southwest Border,"28,929","27,636","23,243","26,921","35,042","47,293","48,212","43,856","34,436","33,230","33,797","31,802","414,397",2013
Monthly Total,"29,577","28,133","23,680","27,317","35,504","47,838","48,697","44,248","34,953","33,884","34,482","32,476","420,789",2013
Livermore*,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
Miami,131,146,125,228,178,113,151,199,213,134,217,199,"2,034",2014
New Orleans,58,48,57,55,90,103,114,88,86,82,72,97,950,2014
Ramey,133,120,48,79,39,79,38,86,133,77,73,53,958,2014
Blaine,16,22,18,29,26,19,36,27,19,28,14,18,272,2014
Buffalo,58,39,52,36,47,87,64,81,54,79,97,47,741,2014
Detroit,48,53,51,34,55,35,40,49,86,66,70,60,647,2014
Grand Forks,59,45,36,42,49,85,65,63,71,81,73,98,767,2014
Havre,18,10,2,5,6,2,1,13,12,3,7,12,91,2014
Houlton,3,4,2,3,3,1,2,13,1,4,8,1,45,2014
Spokane,35,24,15,24,16,31,17,22,19,19,16,31,269,2014
Swanton,44,25,45,30,21,17,31,33,57,69,64,70,506,2014
"Big Bend
(formerly Marfa)",316,260,241,278,522,445,403,374,414,341,302,200,"4,096",2014
Del Rio,"1,587","1,586","1,360","1,514","2,133","2,823","2,616","3,432","2,857","1,830","1,279","1,238","24,255",2014
El Centro,"1,193","1,077",987,"1,126","1,365","1,502","1,441","1,353","1,203","1,250","1,095",919,"14,511",2014
El Paso,885,845,738,813,"1,060","1,278","1,244","1,371","1,221",939,948,997,"12,339",2014
Laredo,"3,638","3,026","2,567","2,756","3,838","5,087","5,117","4,737","3,946","3,546","2,960","2,831","44,049",2014
"Rio Grande Valley
(formerly McAllen)","15,192","14,170","13,540","12,255","16,808","25,398","28,624","37,510","38,446","24,938","17,273","12,239","256,393",2014
San Diego,"2,218","2,153","2,091","2,548","2,469","3,378","3,035","2,863","2,438","2,497","2,132","2,089","29,911",2014
Tucson,"9,785","8,334","7,629","6,825","7,566","8,925","8,473","8,407","6,867","5,019","5,105","4,980","87,915",2014
Yuma,498,445,375,553,642,760,549,636,470,348,294,332,"5,902",2014
Coastal Border,322,314,230,362,307,295,303,373,432,293,362,349,"3,942",2014
Northern Border,281,222,221,203,223,277,256,301,319,349,349,337,"3,338",2014
Southwest Border,"35,312","31,896","29,528","28,668","36,403","49,596","51,502","60,683","57,862","40,708","31,388","25,825","479,371",2014
Monthly Total,"35,915","32,432","29,979","29,233","36,933","50,168","52,061","61,357","58,613","41,350","32,099","26,511","486,651",2014
Livermore*,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Miami,90,50,143,121,79,116,101,110,203,168,346,225,"1,752",2015
New Orleans,115,98,100,79,78,35,39,75,71,72,32,55,849,2015
Ramey,55,76,32,71,12,60,44,25,39,74,9,60,557,2015
Blaine,37,47,29,25,20,16,14,19,17,23,23,12,282,2015
Buffalo,28,34,35,21,19,20,15,16,18,40,27,18,291,2015
Detroit,75,68,109,42,35,30,44,36,72,32,54,40,637,2015
Grand Forks,87,78,72,53,74,65,73,40,40,76,69,62,789,2015
Havre,5,3,3,3,10,6,5,3,2,2,18,4,64,2015
Houlton,1,2,8,4,6,0,3,0,0,4,2,2,32,2015
Spokane,24,15,10,15,23,12,15,14,7,18,13,24,190,2015
Swanton,26,23,25,6,19,27,14,16,35,39,68,43,341,2015
"Big Bend
(formerly Marfa)",302,232,336,233,330,453,438,567,373,428,600,739,"5,031",2015
Del Rio,"1,246",985,"1,051",985,"1,291","1,718","2,100","2,083","1,928","1,752","1,918","1,956","19,013",2015
El Centro,894,842,980,902,991,"1,355","1,244","1,295","1,063","1,072","1,058","1,124","12,820",2015
El Paso,904,924,921,874,859,"1,455","1,516","1,335","1,410","1,417","1,436","1,444","14,495",2015
Laredo,"3,276","2,540","2,367","2,776","2,864","3,093","3,497","3,127","2,958","3,110","3,072","3,208","35,888",2015
"Rio Grande Valley
(formerly McAllen)","12,031","11,466","11,035","8,425","9,557","11,817","12,602","14,103","13,750","13,719","14,750","14,002","147,257",2015
San Diego,"2,133","1,924","2,280","2,111","2,466","2,876","2,284","2,308","2,081","1,985","1,883","1,959","26,290",2015
Tucson,"5,261","5,303","5,610","4,869","5,553","6,256","5,543","6,105","5,081","4,071","4,733","5,012","63,397",2015
Yuma,403,425,439,339,465,768,526,653,659,834,789,842,"7,142",2015
Coastal Border,260,224,275,271,169,211,184,210,313,314,387,340,"3,158",2015
Northern Border,283,270,291,169,206,176,183,144,191,234,274,205,"2,626",2015
Southwest Border,"26,450","24,641","25,019","21,514","24,376","29,791","29,750","31,576","29,303","28,388","30,239","30,286","331,333",2015
Monthly Total,"26,993","25,135","25,585","21,954","24,751","30,178","30,117","31,930","29,807","28,936","30,900","30,831","337,117",2015
Livermore*,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Miami,271,206,337,207,181,310,331,266,232,286,274,304,"3,205",2016
New Orleans,74,59,48,40,53,50,76,57,56,96,72,83,764,2016
Ramey,21,57,64,28,68,63,61,78,72,66,43,73,694,2016
Blaine,27,28,13,13,21,33,19,20,17,28,30,22,271,2016
Buffalo,15,4,7,22,14,17,29,21,15,37,27,18,226,2016
Detroit,55,38,58,35,54,61,51,78,67,64,89,66,716,2016
Grand Forks,40,40,25,48,26,49,35,34,34,66,62,46,505,2016
Havre,4,5,1,4,1,2,9,4,2,2,7,2,43,2016
Houlton,6,0,1,1,2,2,2,7,1,2,1,0,25,2016
Spokane,4,16,9,4,6,11,18,56,20,19,20,23,206,2016
Swanton,25,13,25,10,14,26,18,14,34,35,30,47,291,2016
"Big Bend
(formerly Marfa)",735,637,690,388,458,616,739,491,292,344,326,650,"6,366",2016
Del Rio,"1,873","1,798","2,185","1,531","1,780","2,022","2,224","2,588","1,918","1,833","1,445","1,881","23,078",2016
El Centro,"1,214","1,239","1,253","1,061","1,342","1,775","2,097","2,000","1,719","1,669","2,047","2,032","19,448",2016
El Paso,"1,639","1,679","2,187","1,148","1,399","2,158","2,408","2,481","2,369","2,503","2,708","2,955","25,634",2016
Laredo,"3,146","3,249","2,995","2,454","2,895","3,196","3,654","3,403","2,906","2,647","2,888","3,129","36,562",2016
"Rio Grande Valley
(formerly McAllen)","15,036","15,297","17,736","9,398","9,660","13,325","16,688","18,291","15,972","16,519","19,155","19,753","186,830",2016
San Diego,"2,081","2,022","2,196","2,525","2,504","3,108","3,329","3,118","2,522","2,555","2,748","3,183","31,891",2016
Tucson,"5,899","5,791","6,263","4,572","5,245","6,142","5,784","6,574","5,427","4,364","4,303","4,527","64,891",2016
Yuma,"1,101","1,126","1,509",681,789,974,"1,166","1,391","1,325","1,289","1,428","1,391","14,170",2016
Coastal Border,366,322,449,275,302,423,468,401,360,448,389,460,"4,663",2016
Northern Border,176,144,139,137,138,201,181,234,190,253,266,224,"2,283",2016
Southwest Border,"32,724","32,838","37,014","23,758","26,072","33,316","38,089","40,337","34,450","33,723","37,048","39,501","408,870",2016
Monthly Total,"33,266","33,304","37,602","24,170","26,512","33,940","38,738","40,972","35,000","34,424","37,703","40,185","415,816",2016
Livermore*,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
Miami,178,186,329,161,194,150,193,221,173,195,196,104,"2,280",2017
New Orleans,76,98,81,121,94,88,50,105,57,52,74,24,920,2017
Ramey,77,41,62,99,15,15,39,17,0,8,15,0,388,2017
Blaine,45,36,28,20,23,21,16,12,23,27,27,10,288,2017
Buffalo,9,19,12,24,66,16,33,76,48,55,37,52,447,2017
Detroit,64,30,34,43,71,143,119,112,118,113,132,91,"1,070",2017
Grand Forks,19,25,23,40,48,56,57,44,42,51,58,33,496,2017
Havre,1,3,2,0,4,0,4,6,4,7,7,1,39,2017
Houlton,5,0,0,1,0,1,0,5,1,5,8,4,30,2017
Spokane,16,10,7,5,18,22,14,14,50,19,17,16,208,2017
Swanton,10,22,25,19,43,43,25,41,51,63,73,34,449,2017
"Big Bend
(formerly Marfa)",697,603,477,473,383,357,413,552,378,492,563,614,"6,002",2017
Del Rio,"2,106","1,880","1,817","1,243","1,104",746,589,740,761,760,798,932,"13,476",2017
El Centro,"2,441","1,850","1,870","1,796","1,196",871,849,"1,134","1,280","1,478","1,880","1,988","18,633",2017
El Paso,"3,973","4,105","3,948","2,779","1,575",978,906,"1,032","1,180","1,395","1,782","1,540","25,193",2017
Laredo,"3,350","3,194","2,460","2,265","1,710","1,256","1,304","1,722","1,839","2,120","2,143","2,097","25,460",2017
"Rio Grande Valley
(formerly McAllen)","22,642","24,686","23,418","15,580","7,855","4,147","3,942","4,882","5,817","7,107","8,650","8,836","137,562",2017
San Diego,"2,934","2,947","3,099","2,927","1,808","1,356","1,392","1,724","1,652","1,764","2,241","2,242","26,086",2017
Tucson,"5,924","5,912","4,303","3,357","2,589","2,148","1,487","2,199","2,632","2,177","2,913","3,016","38,657",2017
Yuma,"2,117","2,034","1,859","1,156",534,336,245,534,548,894,"1,318","1,272","12,847",2017
Coastal Border,331,325,472,381,303,253,282,343,230,255,285,128,"3,588",2017
Northern Border,169,145,131,152,273,302,268,310,337,340,359,241,"3,027",2017
Southwest Border,"46,184","47,211","43,251","31,576","18,754","12,195","11,127","14,519","16,087","18,187","22,288","22,537","303,916",2017
Monthly Total,"46,684","47,681","43,854","32,109","19,330","12,750","11,677","15,172","16,654","18,782","22,932","22,906","310,531",2017
